Reference,Value,Footprint,Manufacturer,MPN,Quantity,Unit_Price_USD,Total_Price_USD,Description,Space_Grade,Notes
U1,ADC12DJ5200-SP,QFN-64,Texas Instruments,ADC12DJ5200SPRJQV,1,$12500.00,$12500.00,12-bit 10.4GSPS ADC,Yes - Rad-Hard,MIL-PRF-38535 QML Class V; TID 100krad(Si); SEE LET 43MeV·cm²/mg
U2,XQRVC1902-2FFVG1156E,BGA-1760,Xilinx (AMD),XQRVC1902-2FFVG1156E,1,$85000.00,$85000.00,Radiation-hardened FPGA,Yes - Rad-Hard,XQR series; 150krad TID; EDAC rated; 1.5M logic cells
U3,TRF0208-SP,QFN-16,Texas Instruments,TRF0208SPRQV,1,$850.00,$850.00,Differential amplifier/balun,Yes - Space Qualified,SP suffix; rad-hard to 100krad(Si); QML Class V
U4,LMX2615-SP,QFN-40,Texas Instruments,LMX2615SPRQV,1,$650.00,$650.00,15GHz frequency synthesizer,Yes - Space Qualified,SP suffix; rad-hard PLL; QML Class V
U5,LMK04832-SP,QFN-64,Texas Instruments,LMK04832SPRQV,1,$750.00,$750.00,Clock jitter cleaner,Yes - Space Qualified,SP suffix; rad-hard to 100krad(Si); QML Class V
U6,TPS7H5002-SP,QFN-40,Texas Instruments,TPS7H5002SPRQV,1,$250.00,$250.00,40A buck converter,Yes - Space Qualified,SP suffix; rad-hard; QML Class V; integrated FET
U7,ISL70003ASEH,CQFP-64,Intersil (Renesas),ISL70003ASEH,1,$320.00,$320.00,9A buck converter,Yes - Rad-Hard,ASEH suffix; rad-hard to 300krad(Si); MIL-PRF-38535
U8,ISL70003ASEH,CQFP-64,Intersil (Renesas),ISL70003ASEH,1,$320.00,$320.00,9A buck converter,Yes - Rad-Hard,ASEH suffix; rad-hard to 300krad(Si); MIL-PRF-38535
U9,TPS7H1111-SP,HTSSOP-20,Texas Instruments,TPS7H1111SPWP,1,$95.00,$95.00,1.5A ultra-low noise LDO,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
U10,TPS7H1111-SP,HTSSOP-20,Texas Instruments,TPS7H1111SPWP,1,$95.00,$95.00,1.5A ultra-low noise LDO,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
U11,TPS7H1121-SP,CFP-22,Texas Instruments,TPS7H1121SPHFT,1,$110.00,$110.00,2A general LDO,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
U12,TPS7H3014-SP,HFT-22,Texas Instruments,TPS7H3014SPHFT,1,$180.00,$180.00,4-ch power sequencer,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
U13,TPS7H3014-SP,HFT-22,Texas Instruments,TPS7H3014SPHFT,1,$180.00,$180.00,4-ch power sequencer,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
U14,INA214-SP,SOT-23-8,Texas Instruments,INA214AIDRQV,2,$45.00,$90.00,Current sense amplifier,Yes - Space Qualified,SP suffix; rad-hard; QML Class V
