Designator,Value,Footprint,Manufacturer,Part Number,Description,Quantity,Unit Price (USD),Total Price (USD),Radiation Grade
U1,ADC12DJ5200-SP,FCBGA-144,Texas Instruments,ADC12DJ5200SPRJQV,12-bit 10.4 GSPS ADC,1,850.00,850.00,Rad-Hard QML-V
U2,XQRVC1902,VSR2197,AMD/Xilinx,XQRVC1902-2SFVR784E,Versal AI Core FPGA,1,180000.00,180000.00,Rad-Tolerant Class B
U3,LMX2615-SP,CQFP-64,Texas Instruments,LMX2615RQZT,15.2 GHz PLL Synthesizer,1,225.00,225.00,Rad-Hard QML-V
U4,LMK04832-SP,CFP-64,Texas Instruments,LMK04832RQZT,14-Output Jitter Cleaner,1,225.00,225.00,Rad-Hard QML-V
U5,TRF0208-SP,TSSOP-14,Texas Instruments,TRF0208SP,Active Balun DC-8GHz,1,45.00,45.00,Space-Grade
U6,TPS7H5002-SP,CFP-22,Texas Instruments,TPS7H5002RQZT,Buck Controller Rad-Hard,1,45.00,45.00,Rad-Hard QML-V
U7,ISL70003ASEH,CQFP-64,Renesas,ISL70003ASEH,9A Integrated Buck,2,35.00,70.00,QML Class V
U8,TPS7H1111-SP,HTSSOP-28,Texas Instruments,TPS7H1111RQZT,1.5A Ultra-Low Noise LDO,2,25.00,50.00,Rad-Hard QML-V
U9,TPS7H1121-SP,CFP-22,Texas Instruments,TPS7H1121RQZT,2A General LDO,1,20.00,20.00,Rad-Hard QML-V
U10,TPS7H3014-SP,CFP-22,Texas Instruments,TPS7H3014RQZT,4-Ch Power Sequencer,1,30.00,30.00,Rad-Hard QML-V
U11,INA214-SP,SOT-23-5,Texas Instruments,INA214AIDCKR,Current Sense Amplifier,3,15.00,45.00,Rad-Tolerant
U12,TMP102-SP,SOT-23-6,Texas Instruments,TMP102AIDCKR,Temperature Sensor,2,8.00,16.00,Space-Grade
U13,EEPROM,Microchip,24AA256-I/MS,256Kbit I2C EEPROM,1,2.50,2.50,Rad-Tolerant
Q1,CSD19538Q3A,D2PAK-7,Texas Instruments,CSD19538Q3A,100V 3.8mOhm MOSFET,4,8.00,32.00,Space-Grade
L1,XAL6060-402,6x6mm,Coilcraft,XAL6060-402,4.0uH 60A Inductor,1,12.00,12.00,Rad-Tolerant
L2,XAL5030-222,5x5mm,Coilcraft,XAL5030-222,2.2uH 5.5A Inductor,2,6.00,12.00,Rad-Tolerant
FB1,BLM18AG102,0603,Murata,BLM18AG102SN1,1000 Ohm Ferrite Bead,10,0.50,5.00,Rad-Tolerant
C1-C36,C3225X5R1E106K,1210,TDK,C3225X5R1E106KMT,10uF 25V X5R MLCC,36,0.50,18.00,Space-Grade
C37-C60,C3225X5R1A106K,1210,TDK,C3225X5R1A106KMT,10uF 10V X5R MLCC,24,0.40,9.60,Space-Grade
C61-C80,GRM188R71C104K,0603,Murata,GRM188R71C104KA01D,100nF 16V X7R MLCC,20,0.10,2.00,Space-Grade
C81-C84,C3225X5R1A226K,1210,TDK,C3225X5R1A226KMT,22uF 10V X5R MLCC,4,1.00,4.00,Space-Grade
R1-R40,RC0402FR-0710KL,0402,Yageo,RC0402FR-0710KL,10K 1% Resistor,40,0.05,2.00,Space-Grade
R41-R60,RC0402FR-07100RL,0402,Yageo,RC0402FR-07100RL,100 Ohm 1% Resistor,20,0.05,1.00,Space-Grade
Y1,CVHD-950-122.880,5x7mm,Crystek,CVHD-950-122.880,122.88 MHz VCXO,1,85.00,85.00,Space-Grade
J1,SMA-FA-EDGE,-,Amphenol,132289,SMA Female Edge Mount,1,12.00,12.00,MIL-STD-348
J2,M38999/1,-,Amphenol,M38999/11WB35PN,MIL-DTL-38999 Power Conn,1,85.00,85.00,MIL-STD
J3,Box Header 14P,-,Samtec,TSW-107-07-G-D,14-pin Box Header JTAG,1,3.50,3.50,Space-Grade
J4,M38999/1,-,Amphenol,M38999/11WB35SN,MIL-DTL-38999 SpaceWire,1,85.00,85.00,MIL-STD
J5,Box Header 10P,-,Samtec,TSW-105-07-G-D,10-pin Box Header Debug,1,2.50,2.50,Space-Grade
TP1-TP10,TP,-,Miller,4900-100-100,Test Point Single,10,0.80,8.00,-
F1-F4,M3x6,-,SS A2,M3x6 DIN965,M3x6 Screw SS,4,0.20,0.80,-
F5-F6,M2.5x5,-,SS A2,M2.5x5 DIN965,M2.5x5 Screw SS,2,0.15,0.30,-
HS1,HS-20x20x10,-,Aavid,531102B00000G,10mm Aluminum Heatsink,1,25.00,25.00,-
TIM1,HI-6003,-,Bergquist,HI-6003,0.254mm Thermal Pad,1,15.00,15.00,-
